,beta,edge_num,gamma,lamuda10:,lamuda1:,lamuda2:,lamuda3:,lamuda4:,lamuda5:,lamuda6:,lamuda7:,lamuda8:,lamuda9:,node_num
88,0.643798828,20,0.9,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
89,0.697753906,20,1,0.866526016,4.301888968,-2.502462109,-2.296029772,-1.632969036,-1.152753088,-0.676867826,1.806361362,0.066522545,1.21978294,10
90,0.069921875,20,0.1,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
91,0.137109375,20,0.2,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
92,0.214746094,20,0.3,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
93,0.285546875,20,0.4,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
94,0.361816406,20,0.5,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
95,0.442089844,20,0.6,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
96,0.509619141,20,0.7,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
97,0.606640625,20,0.8,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
98,0.676318359,20,0.9,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
99,0.744628906,20,1,-1.144894883,4.473822671,2.021088615,1.224056582,0.352795565,-0.106373448,-2.255701358,-2.17101038,-1.576798646,-0.816984718,10
100,0.071484375,20,0.1,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
101,0.139453125,20,0.2,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
102,0.213574219,20,0.3,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
103,0.279296875,20,0.4,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
104,0.357910156,20,0.5,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
105,0.420996094,20,0.6,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
106,0.509619141,20,0.7,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
107,0.576953125,20,0.8,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
108,0.618310547,20,0.9,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
109,0.690917969,20,1,-0.070360259,4.081963645,-3.162982368,-1.979645595,-1.734926985,-1.074025217,1.788572988,1.169721331,0.804349394,0.177333065,10
110,0.067578125,20,0.1,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
111,0.144140625,20,0.2,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
112,0.209472656,20,0.3,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
113,0.277734375,20,0.4,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
114,0.343261719,20,0.5,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
115,0.412207031,20,0.6,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
116,0.464501953,20,0.7,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
117,0.564453125,20,0.8,-2.04E-16,4.278033454,-3.55982766,1.566823762,1.038092186,-1.771842633,-1.341972915,-0.620047386,0.410741192,-6.62E-17,10
